peer_index	_2009_2010_additional_credit	_2008_09_progress_report_grade	_2009_2010_performance_category_score	_2009_2010_performance_grade	principal	dbn	_2009_2010_progress_category_score	school	_2009_2010_overall_grade	district	progress_report_type	school_level	_2009_2010_environment_grade	_2009_2010_overall_score	_2009_2010_environment_category_score	_2009_2010_progress_grade
62.65	0.0	B	3.0	D	Thomas Staebell	01M015	27.4	P.S. 015 Roberto Clemente	C	1	EMS	Elementary	B	37.6	7.2	B
48.94	0.0	A	4.9	D	Jacqueline Flanagan	01M019	24.4	P.S. 019 Asher Levy	C	1	EMS	Elementary	B	35.7	6.4	B
57.68	9.0	A	7.9	C	James Lee	01M020	44.1	P.S. 020 Anna Silver	A	1	EMS	Elementary	A	70.3	9.3	A
66.75	5.8	A	7.4	C	Joyce Stallings Harte	01M034	33.0	P.S. 034 Franklin D. Roosevelt	B	1	EMS	K-8	B	53.0	6.8	B
57.55	3.3	B	7.1	C	Darlene Despeignes	01M063	35.8	P.S. 063 William McKinley	B	1	EMS	Elementary	B	54.0	7.8	A
61.50	0.0	A	5.4	D	Marlon L. Hosang	01M064	15.3	P.S. 064 Robert Simon	C	1	EMS	Elementary	A	31.0	10.3	D
42.47	0.0	B	8.8	C	Karen Feuer	01M110	11.4	P.S. 110 Florence Nightingale	D	1	EMS	Elementary	C	25.4	5.2	D
53.05	3.8	B	4.1	D	Loretta Caputo	01M134	41.4	P.S. 134 Henrietta Szold	B	1	EMS	Elementary	C	54.2	4.9	A
58.66	0.0	A	5.5	D	Melissa Rodriguez	01M137	7.8	P.S. 137 John L. Bernstein	C	1	EMS	Elementary	B	20.1	6.8	F
61.90	0.8	A	7.2	C	Esteban Barrientos	01M140	26.5	P.S. 140 Nathan Straus	B	1	EMS	K-8	A	43.0	8.5	B
61.02	1.3	A	5.9	C	Rhonda Levy	01M142	34.4	P.S. 142 Amalia Castro	B	1	EMS	Elementary	A	50.3	8.7	B
27.58	8.0	A	19.2	A	Ling Ling Chou	01M184	52.9	P.S. 184m Shuang Wen	A	1	EMS	K-8	A	92.1	12.0	A
64.94	0.8	A	3.6	D	Mary Pree	01M188	5.9	P.S. 188 The Island School	C	1	EMS	K-8	B	16.8	6.5	F
2.16	0.0	B	13.3	C	Erin Balet	01M292	21.7	Henry Street School for International Studies	D	1	HS	High School	F	40.0	5.0	F
2.31	4.0	B	4.6	D	Erin Balet	01M292	21.9	Henry Street School for International Studies	C	1	EMS	Middle	D	33.7	3.2	C
2.31	0.8	A	7.9	C	George Morgan	01M301	25.1	Technology, Arts, and Sciences Studio	C	1	EMS	Middle	B	40.9	7.1	C
32.44	0.0	A	4.7	D	Robin Williams	01M315	12.3	The East Village Community School	C	1	EMS	Elementary	C	22.8	5.8	D
2.12	3.8	A	6.7	C	Laura Peynado	01M332	33.8	University Neighborhood Middle School	B	1	EMS	Middle	B	51.1	6.8	B
2.72	2.3	A	8.8	C	Judith De Los Santos	01M345	27.1	Collaborative Academy of Science, Technology, & Language-Arts Education	B	1	EMS	Middle	B	44.6	6.4	B
35.38	0.0	B	1.3	F	Maria Velez Clarke	01M361	24.8	The Children's Workshop School	C	1	EMS	Elementary	B	34.3	8.2	B
33.79	1.0	B	3.6	D	Milo Novelo	01M363	21.7	Neighborhood School	C	1	EMS	Elementary	B	33.1	6.8	C
31.80	0.0	B	0.0	F	Alison Gail Hazut	01M364	13.4	Earth School	D	1	EMS	Elementary	B	22.0	8.6	D
2.49	2.5		12.2	B	Carry Chan	01M378	30.5	School for Global Leaders	B	1	EMS	Middle	A	56.5	11.3	B
2.24	0.0	D	11.4	D	Elizabeth Collins	01M448	31.2	University Neighborhood High School	C	1	HS	High School	F	47.8	5.2	C
2.42	9.0	A	22.6	A	Mark Federman	01M450	38.9	East Side Community School	A	1	HS	High School	A	84.0	13.5	B
2.21	7.0	A	14.7	B	Mark Federman	01M450	44.1	East Side Community School	A	1	EMS	Middle	A	76.9	11.1	A
2.01	3.0	B	12.9	C	Jayne Godlewski	01M509	38.3	Marta Valle High School	B	1	HS	High School	C	62.6	8.4	B
2.75	12.0	A	22.4	A	Martha Polin	01M515	45.9	Lower East Side Preparatory High School	A	1	HST	High School Transfer	B	90.1	9.8	A
3.55	0.0	A	23.7	A	Dr. Olga Livanis	01M539	35.4	New Explorations into Science, Technology and Math	B	1	HS	High School	C	67.2	8.1	B
12.97	0.0	A	24.1	A	Dr. Olga Livanis	01M539	49.3	New Explorations into Science, Technology and Math	A	1	EMS	K-8	B	80.2	6.8	A
2.59	1.5	A	17.7	A	Paul Rotondo	01M650	42.1	Cascades High School	A	1	HST	High School Transfer	A	72.4	11.1	A
3.81	0.0	B	16.5	B	Raymond Peterson	01M696	33.0	Bard High School Early College	B	1	HS	High School	A	60.9	11.4	C
2.80	8.0	A	16.7	A	Sonhando Estwick	01M839	47.4	Tompkins Square Middle School	A	1	EMS	Middle	A	84.4	12.3	A
39.34	3.8	B	9.5	C	Amy Hom	02M001	23.5	P.S. 001 Alfred E. Smith	B	2	EMS	Elementary	C	41.2	4.4	C
40.23	10.5	A	12.6	B	Brett Gustafson	02M002	55.8	P.S. 002 Meyer London	A	2	EMS	Elementary	B	87.5	8.6	A
17.09	6.3	A	6.5	C	Lisa Siegman	02M003	26.5	P.S. 003 Charrette School	B	2	EMS	Elementary	B	47.8	8.5	B
12.51	4.8	A	10.1	B	Lauren Fontana	02M006	24.9	P.S. 006 Lillie D. Blake	B	2	EMS	Elementary	C	45.6	5.8	B
40.45	4.5	A	15.7	A	Robert Bender	02M011	41.4	P.S. 011 William T. Harris	A	2	EMS	Elementary	A	74.0	12.4	A
50.44	4.3	A	15.5	A	Linore Lindy	02M033	28.8	P.S. 033 Chelsea Prep	A	2	EMS	Elementary	A	62.2	13.6	B
15.55	2.8	A	13.7	B	Susan Felder	02M040	38.0	P.S. 040 Augustus Saint-Gaudens	A	2	EMS	Elementary	A	63.7	9.2	A
11.69	7.0	A	12.4	B	Kelly Shannon	02M041	29.0	P.S. 041 Greenwich Village	B	2	EMS	Elementary	A	58.2	9.8	B
36.63	8.0	A	16.3	A	Rosa Casiello O'day	02M042	46.6	P.S. 042 Benjamin Altman	A	2	EMS	Elementary	A	82.6	11.7	A
1.67	0.0	A	15.6	B	Watfa A. Shama	02M047	49.9	47 The American Sign Language and English Secondary School	A	2	HS	High School	A	76.6	11.1	A
""					Watfa A. Shama	02M047		47 The American Sign Language and English Secondary School		2	EMS	Middle				
49.51	0.0	A	14.5	B	Nancy Sing Bock	02M051	31.5	P.S. 051 Elias Howe	B	2	EMS	Elementary	A	57.2	11.2	B
19.37	2.8	A	9.1	C	Adele Schroeter	02M059	22.7	P.S. 059 Beekman Hill International	B	2	EMS	Elementary	A	43.8	9.2	C
9.83	0.0	A	19.7	A	Mara Ratesic Koetke	02M077	49.0	P.S. 77 Lower Lab School	A	2	EMS	Elementary	B	76.3	7.6	A
11.57	2.0	A	8.3	C	Veronica Najjar	02M089	29.1	P.S. 89	B	2	EMS	Elementary	B	47.6	8.2	B
3.13	3.5	A	11.3	B	Rosemarie Gaetani	02M104	31.4	J.H.S. 104 Simon Baruch	B	2	EMS	Middle	B	53.0	6.8	B
52.01	7.0	A	4.1	D	Irma Medina	02M111	36.0	P.S. 111 Adolph S. Ochs	B	2	EMS	K-8	C	52.6	5.5	A
3.62	5.5	A	19.1	A	David Getz	02M114	40.5	East Side Middle School	A	2	EMS	Middle	A	78.3	13.2	A
20.28	5.5	A	14.3	B	Jane Hsu	02M116	23.3	P.S. 116 Mary Lindley Murray	B	2	EMS	Elementary	B	51.3	8.2	C
26.08	2.3	A	15.6	A	Alice Hom	02M124	41.7	P.S. 124 Yung Wing	A	2	EMS	Elementary	B	67.3	7.7	A
40.66	7.5	A	14.9	A	Kerry Decker	02M126	44.9	P.S. 126 Jacob August Riis	A	2	EMS	K-8	B	75.0	7.7	A
27.53	8.0	A	15.6	A	Lily Woo	02M130	51.6	P.S. 130 Hernando De Soto	A	2	EMS	Elementary	A	88.3	13.1	A
2.89	6.3	A	8.6	C	Phyllis Tam	02M131	37.8	M.S. 131	B	2	EMS	Middle	B	61.9	9.2	A
14.53	0.0	A	8.6	C	Maggie Siena	02M150	34.4	P.S. 150	B	2	EMS	Elementary	A	52.4	9.4	B
18.68	7.0	A	18.9	A	Darryl Alhadeff	02M158	49.9	P.S. 158 Bayard Taylor	A	2	EMS	Elementary	D	79.7	3.9	A
3.11	6.0	A	12.2	B	Jennifer Rehn	02M167	28.3	J.H.S. 167 Robert F. Wagner	B	2	EMS	Middle	B	53.9	7.4	B
14.61	5.0	A	6.5	C	Mary Anne Sacco	02M183	29.0	P.S. 183 Robert L. Stevenson	B	2	EMS	Elementary	B	49.1	8.6	B
50.02	3.3	B	6.7	C	Sharon Jeffrey Roebuck	02M198	28.5	P.S. 198 Isador E. Ida Straus	B	2	EMS	Elementary	C	42.8	4.3	B
23.15	5.5	A	10.8	B	Dean Ketchum	02M212	32.8	P.S. 212 Midtown West	A	2	EMS	Elementary	A	59.5	10.4	B
35.99	3.3	B	6.6	C	Mandana Beckman	02M217	27.7	P.S./I.S. 217 Roosevelt Island	B	2	EMS	K-8	B	45.4	7.8	B
41.34	2.8	A	4.1	D	Laura Garcia	02M225	37.7	Ella Baker School	B	2	EMS	K-8	B	50.9	6.3	A
9.11	2.0	A	14.1	B	Lisa Ripperger	02M234	29.9	P.S. 234 Independence School	B	2	EMS	Elementary	A	55.1	9.1	B
3.58	4.3	B	15.4	B	Jennifer Goodwin	02M255	23.4	M.S. 255 Salk School of Science	B	2	EMS	Middle	A	53.1	10.0	C
2.96	7.3	A	18.0	A	Joseph Anderson	02M260	37.7	M.S. 260 Clinton School Writers & Artists	A	2	EMS	Middle	A	74.4	11.4	A
2.44	9.0	A	21.3	A	Roger Turgeon	02M288	43.9	Food and Finance High School	A	2	HS	High School	B	83.9	9.7	A
3.37	3.8	B	13.4	B	Ellen Foote	02M289	32.3	I.S. 289	B	2	EMS	Middle	A	59.1	9.6	B
13.17	8.0	A	13.6	B	Sharon Hill	02M290	45.0	P.S. 290 Manhattan New School	A	2	EMS	Elementary	A	78.7	12.1	A
2.28	6.0	A	23.0	A	Alex Shub	02M294	43.4	Essex Street Academy	A	2	HS	High School	A	84.2	11.8	A
2.28	1.5	A	20.7	A	Matthew Corallo	02M296	52.9	High School of Hospitality Management	A	2	HS	High School	B	85.3	10.2	A
2.82	12.0	A	21.5	A	Larry Gabbard	02M298	47.2	Pace High School	A	2	HS	High School	B	90.9	10.2	A
2.50	1.5	A	16.2	B	Mathew Willoughby	02M300	38.2	Urban Assembly School of Design and Construction, The	B	2	HS	High School	A	66.7	10.8	B
2.16	4.5	A	15.4	B	Gillian Smith	02M303	34.0	Facing History School, The	B	2	HS	High School	A	64.5	10.6	C
2.52	0.0	B	15.9	B	David Glasner	02M305	34.1	Urban Assembly Academy of Government and Law, The	B	2	HS	High School	C	58.3	8.3	C
2.22	6.0	A	17.7	A	John Wenk	02M308	51.8	Lower Manhattan Arts Academy	A	2	HS	High School	A	86.2	10.7	A
3.64	7.3	A	18.5	A	Megan Adams	02M312	40.5	New York City Lab Middle School for Collaborative Studies	A	2	EMS	Middle	A	77.0	10.7	A
2.36	0.0	B	8.4	F	Elijah Hawkes	02M313	24.7	James Baldwin School, The: A School for Expeditionary Learning	D	2	HST	High School Transfer	A	43.5	10.4	D
2.34	0.0	A	17.4	B	Patricia Minaya	02M316	35.3	Urban Assembly School of Business for Young Women, the	B	2	HS	High School	B	62.8	10.1	B
64.27	1.5	A	4.9	D	David Bowell	02M347	32.5	The 47 American Sign Language & English Lower School	B	2	EMS	K-8	A	49.2	10.3	B
2.58	3.0		17.0	B	Denise Dicarlo	02M374	37.3	Gramercy Arts High School	B	2	HS	High School	D	63.7	6.4	B
3.33					Alisa Berger/Mary Moss	02M376		NYC iSchool		2	HS	High School				
2.74					Karen Polsonetti	02M392		MANHATTAN BUSINESS ACADEMY		2	HS	High School				
2.45					Joshua Solomon	02M393		BUSINESS OF SPORTS SCHOOL		2	HS	High School				
2.50					Melody Kellogg	02M394		EMMA LAZARUS HIGH SCHOOL		2	HST	High School Transfer				
2.65					Santiago Mayol	02M399		THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY		2	HS	High School				
2.78	6.0	B	17.1	B	Shirley H. Matthews	02M400	34.2	High School for Environmental Studies	B	2	HS	High School	C	65.4	8.1	C
2.68	0.0	A	9.4	F	John Pettinato	02M407	40.4	Institute for Collaborative Education	B	2	HS	High School	A	62.4	12.6	B
3.52	0.0	B	0.0	F	John Pettinato	02M407	0.0	Institute for Collaborative Education	C	2	EMS	Middle	A	11.0	11.0	F
3.25	0.0	A	19.6	A	Keith Ryan	02M408	42.7	Professional Performing Arts High School	A	2	HS	High School	B	71.6	9.3	A
3.64	0.0	B	17.1	A	Keith Ryan	02M408	38.2	Professional Performing Arts High School	A	2	EMS	Middle	B	62.4	7.1	A
