school_code	boro	number_of_classes	core_subject_ms_core_and_9_12_only_	school_name	size_of_smallest_class	total_register	data_source	program_type	csd	core_course_ms_core_and_9_12_only_	average_class_size	size_of_largest_class	service_category_k_9_only_	grade_
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	18	18	ATS	GEN ED	1	-	18.0	18	-	0K
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	19	19	ATS	CTT	1	-	19.0	19	-	0K
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	22	22	ATS	GEN ED	1	-	22.0	22	-	01
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	22	22	ATS	CTT	1	-	22.0	22	-	01
M015	M	2	-	P.S. 015 ROBERTO CLEMENTE	16	32	ATS	GEN ED	1	-	16.0	16	-	02
M015	M	2	-	P.S. 015 ROBERTO CLEMENTE	16	32	ATS	GEN ED	1	-	16.0	16	-	03
M015	M	2	-	P.S. 015 ROBERTO CLEMENTE	16	36	ATS	GEN ED	1	-	18.0	20	-	04
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	19	19	ATS	GEN ED	1	-	19.0	19	-	05
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	23	23	ATS	CTT	1	-	23.0	23	-	05
M015	M	1	-	P.S. 015 ROBERTO CLEMENTE	12	12	ATS	SPEC ED	1	-	12.0	12	12:1:1	0K-09
M019	M	2	-	P.S. 019 ASHER LEVY	16	36	ATS	GEN ED	1	-	18.0	20	-	01
M019	M	1	-	P.S. 019 ASHER LEVY	12	12	ATS	G&T	1	-	12.0	12	-	01
M019	M	1	-	P.S. 019 ASHER LEVY	23	23	ATS	GEN ED	1	-	23.0	23	-	02
M019	M	1	-	P.S. 019 ASHER LEVY	21	21	ATS	CTT	1	-	21.0	21	-	02
M019	M	1	-	P.S. 019 ASHER LEVY	27	27	ATS	GEN ED	1	-	27.0	27	-	03
M019	M	1	-	P.S. 019 ASHER LEVY	26	26	ATS	CTT	1	-	26.0	26	-	03
M019	M	2	-	P.S. 019 ASHER LEVY	23	47	ATS	GEN ED	1	-	23.5	24	-	04
M019	M	2	-	P.S. 019 ASHER LEVY	21	43	ATS	GEN ED	1	-	21.5	22	-	05
M019	M	1	-	P.S. 019 ASHER LEVY	21	21	ATS	SPEC ED	1	-	21.0	21	12:1	0K-09
M019	M	1	-	P.S. 019 ASHER LEVY	21	5	ATS	SPEC ED	1	-	5.0	21	12:1	0K-09
M019	M	1	-	P.S. 019 ASHER LEVY	21	21	ATS	SPEC ED	1	-	21.0	21	12:1:1	0K-09
M019	M	1	-	P.S. 019 ASHER LEVY	21	10	ATS	SPEC ED	1	-	10.0	21	12:1:1	0K-09
M020	M	3	-	P.S. 020 ANNA SILVER	19	58	ATS	GEN ED	1	-	19.3	20	-	0K
M020	M	1	-	P.S. 020 ANNA SILVER	20	20	ATS	CTT	1	-	20.0	20	-	0K
M020	M	3	-	P.S. 020 ANNA SILVER	20	65	ATS	GEN ED	1	-	21.7	24	-	01
M020	M	1	-	P.S. 020 ANNA SILVER	22	22	ATS	CTT	1	-	22.0	22	-	01
M020	M	4	-	P.S. 020 ANNA SILVER	22	94	ATS	GEN ED	1	-	23.5	25	-	02
M020	M	4	-	P.S. 020 ANNA SILVER	23	95	ATS	GEN ED	1	-	23.8	25	-	03
M020	M	3	-	P.S. 020 ANNA SILVER	17	63	ATS	GEN ED	1	-	21.0	24	-	04
M020	M	1	-	P.S. 020 ANNA SILVER	25	25	ATS	CTT	1	-	25.0	25	-	04
M020	M	4	-	P.S. 020 ANNA SILVER	19	86	ATS	GEN ED	1	-	21.5	23	-	05
M020	M	3	-	P.S. 020 ANNA SILVER	9	29	ATS	SPEC ED	1	-	9.7	10	12:1:1	0K-09
M034	M	2	-	P.S. 034 FRANKLIN D. ROOSEVELT	16	35	ATS	GEN ED	1	-	17.5	19	-	0K
