building_name	bldg_id	no_of_cluster_spec_rms_reported	geo_dist	org_id	prek_cap	incl_class	no_of_cluster_rms_needed	organization_name	enroll	target_capacity	target_utilization
P.S. 15 - M	M015	4	1	M015	36		2	P.S. 15 - M	190	315	60
P.S. 19 - M	M019	2	1	M019	36		3	P.S. 19 - M	285	395	72
P.S. 20 - M	M020	9	1	M020	53		3	P.S. 20 - M	631	826	76
P.S. 34 - M	M034	0	1	M034	18		3	P.S. 34 - M	393	409	96
P.S. 63 - M	M063	4	1	M063	18		2	P.S. 63 - M	179	325	55
P.S. 64 (OLD 71) - M	M064	2	1	M064	36		3	P.S. 64 - M	287	306	94
J.H.S. 56 - M	M056	0	1	M080	0		1	MANHATTAN CHARTER SCHOOL II	140	140	100
P.S. 15 - M	M015		1	M094	0	*	0	M094 SPED - M	64	101	63
P.S. 61 - M	M061		1	M094		*		M094 SPED - M	56	88	64
P.S. 188 - M	M188		1	M094		*		M094 SPED - M	52	97	54
P.S. 110 - M	M110	4	1	M110	36		3	P.S. 110 - M	416	394	106
P.S. 134 - M	M134	4	1	M134	36		3	P.S. 134 - M	318	413	77
P.S. 134 - M	M134	2	1	M137	18		2	P.S. 137 - M	202	286	71
P.S. 140 - M	M140	5	1	M140	18		3	P.S. 140 - M	393	493	80
P.S. 142 - M	M142	6	1	M142	36		3	P.S. 142 - M	384	446	86
P.S. 137 - M	M137	6	1	M184	36		3	P.S. 184 - M	668	737	91
P.S. 188 - M	M188	4	1	M188	36		3	P.S. 188 - M	501	632	79
J.H.S. 56 - M	M056	8	1	M292			0	J.H.S. 292 - M	320	804	40
P.S. 19 - M	M019	0	1	M301			0	I.S. 301 - M	158	292	54
P.S. 61 - M	M061	1	1	M315	36		3	P.S. 315 - M	276	207	133
P.S. 142 - M	M142	1	1	M320	0		3	MANHATTAN CHARTER - M	274	181	151
J.H.S. 60 - M	M060		1	M330				GIRLS PREP CHARTER SCHOOL - M	227	286	79
P.S. 188 - M	M188	6	1	M330	0		3	GIRLS PREP CHARTER SCHOOL - M	336	335	100
J.H.S. 56 - M	M056	2	1	M332			0	I.S. 332 - M	100	183	55
J.H.S. 56 - M	M056	4	1	M345			0	I.S. 345 - M	166	337	49
P.S. 61 - M	M061	1	1	M361	36		3	P.S. 361 - M	258	217	119
P.S. 63 - M	M063	2	1	M363	18		3	P.S. 363 - M	300	329	91
P.S. 64 (OLD 71) - M	M064	1	1	M364	18		3	P.S. 364 - M	318	254	125
J.H.S. 25 - M	M025	0	1	M378			0	I.S. 378 - M	244	343	71
UNIVERSITY NEIGHBORHOOD - M	M446	10	1	M448			0	UNIVERSITY NEIGHBORHOOD HS - M	299	639	47
J.H.S. 60 - M	M060	4	1	M450			0	EASTSIDE COMMUNITY HS - M	649	832	78
FORSYTH HS (AUXSVC-OLD 91) - M	M510	2	1	M458			0	SATELLITE AT FORSYTHE	224	349	64
J.H.S. 25 - M	M025	10	1	M509			0	MARTE VALLE HS - M	401	586	68
J.H.S. 25 - M	M025	4	1	M515			0	LOWER EAST SIDE PREP HS - M	551	735	75
N.E.S.T (OLD J22) - M	M022	11	1	M539	0		5	NEW EXPLORATIONS - M	1725	1610	107
FORSYTH HS (AUXSVC-OLD 91) - M	M510	3	1	M650			0	CASCADES CTR FOR TCHING & LNG - M	222	297	75
BARD COLLEGE HS (OLD M097) - M	M097	7	1	M696			0	BARD COLLEGE HS - M	560	782	72
P.S. 751 (CAR.DEV/OLD 25) - M	M751		1	M751	0		0	M751 SPED - M	211	215	98
P.S. 64 (OLD 71) - M	M064	5	1	M839			0	I.S. 839 - M	377	430	88
FORSYTH HS (AUXSVC-OLD 91) - M	M510		1	M984				LYFE			
P.S. 15 - M	M015		1	MCBO				EDUCATION ALLIANCE - M			
P.S. 20 - M	M020		1	MCBO				ED ALLIANCE/DISTRICT 1 OFFICE-M			
J.H.S. 60 - M	M060		1	MCBO				BEACON PROGRAM - M			
P.S. 64 (OLD 71) - M	M064		1	MCBO				EDUCATIONAL ALLIANCE - M			
P.S. 140 - M	M140		1	MCBO				EDUCATION ALLIANCE - M			
P.S. 142 - M	M142		1	MCBO				EDUCATIONAL ALLIANCE - M			
UNIVERSITY NEIGHBORHOOD - M	M446		1	MCBO				COMMUNITY BASED ORGANIZATION - M			
P.S. 64 (OLD 71) - M	M064		1	MCEP				ADULT EDUCATION - M			
FORSYTH HS (AUXSVC-OLD 91) - M	M510		1	MCEP				ADULT BASIC EDUCATION - M			
P.S. 64 (OLD 71) - M	M064		1	MSBH				NENA/RYAN HLTH. CLINIC - M			
P.S. 20 - M	M020		1	MSFS				FOOD SERVICES - M			
P.S. 140 - M	M140		1	MSST				SCHOOL SAFETY - M			
P.S. 64 (OLD 71) - M	M064		1	MUFT				UFT USE - M			
FORSYTH HS (AUXSVC-OLD 91) - M	M510		1	Q950				PATHWAYS TO GRADUATION - Q	231	248	93
P.S. 1 - M	M001	5	2	M001	47		3	P.S. 1 - M	496	669	74
P.S. 2 - M	M002	6	2	M002	36		4	P.S. 2 - M	822	911	90
P.S. 3 - M	M003	7	2	M003	48		4	P.S. 3 - M	808	730	111
P.S. 6 - M	M006	2	2	M006	0		4	P.S. 6 - M	751	540	139
P.S. 11 - M	M011	6	2	M011	18		4	P.S. 11 - M	820	786	104
P.S. 33 - M	M033	1	2	M033	35		3	P.S. 33 - M	576	584	99
P.S. 35 (OLD 58/MNHT HS) - M	M058		2	M035	0		0	M035 SPED - M	189	213	89
P.S. 40 - M	M040	4	2	M040	0		3	P.S. 40 - M	594	562	106
P.S. 41 - M	M041	5	2	M041	32		4	P.S. 41 - M	791	638	124
P.S. 42 - M	M042	3	2	M042	34		4	P.S. 42 - M	792	729	109
J.H.S. 47 (SCH FOR THE DEAF) - M	M047	3	2	M047			0	J.H.S. 47 (SCH FOR THE DEAF) - M	184	268	69
P.S. 51 ELIAS HOWE - M	M338	4	2	M051	18		3	P.S. 51 - M	304	596	51
MIDTOWN EAST CAMPUS - M	M488	3	2	M059	0		3	P.S. 59 - M	598	556	108
P.S. 198 - M	M198	3	2	M077	0		3	P.S. 77 - M	348	253	138
P.S./I.S. 89 - M	M089	4	2	M089	36		3	P.S. 89 - M	472	427	111
P.S./I.S. 276 - M	M276		2	M094		*		M094 SPED - M	55	35	157
P.S. 281 - M	M281		2	M094				M094 SPED - M	61	68	90
P.S. 51 ELIAS HOWE - M	M338		2	M094				M094 SPED - M	15	50	30
THE SPRUCE STREET EDUCATIONAL CAMPUS - M	M971		2	M094				M094 SPED - M	33	42	79
I.S. 104 - M	M104	7	2	M104			0	I.S. 104 - M	1034	1198	86
P.S. 111 - M	M111	5	2	M111	36		3	P.S. 111 - M	533	753	71
EAST SIDE MIDDLE SCHOOL - M	M114	4	2	M114			0	I.S. 114 - M	443	485	91
P.S. 116 - M	M116	4	2	M116	0		3	P.S. 116 - M	724	639	113
P.S. 124 (ECF) - M	M124	8	2	M124	35		4	P.S. 124 - M	866	901	96
P.S. 126 - M	M126	7	2	M126	54		4	P.S. 126 - M	841	926	91
P.S. 130 - M	M130	6	2	M130	36		4	P.S. 130 - M	999	964	104
I.S. 131 - M	M131	9	2	M131			0	I.S. 131 - M	445	592	75
HS OF GRAPHIC COMMUNICATION ARTS-M	M625	0	2	M135			0	THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT	116	106	109
P.S. 33 - M	M033		2	M138		*		M138 SPED - M	79	82	96
J.H.S. 47 (SCH FOR THE DEAF) - M	M047		2	M138				M138 SPED - M	44	98	45
EAST SIDE MIDDLE SCHOOL - M	M114		2	M138				M138 SPED - M	36	33	109
PARK WEST HS (ECF) - M	M535		2	M138				M138 SPED - M	63	68	93
SCHL OF THE FUTURE (OLD BACON) - M	M660		2	M138		"#"		M138 SPED - M	13	0	0
MURRY BERGTRAUM HS (ECF) - M	M520	2	2	M139			0	STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HS - M	85	138	62
P.S. 150 - M	M840	2	2	M150	18		2	P.S. 150 - M	184	154	119
RICHARD R GREEN HS OF TEACHING - M	M066	5	2	M151	0		3	P.S. 151 - M	485	728	67
P.S. 158 - M	M158	14	2	M158	32		3	P.S. 158 - M	747	1063	70
I.S. 167 - M	M167	11	2	M167			0	I.S. 167 - M	1345	1472	91
P.S. 169 (ECF) - M	M169		2	M169	0		0	M169 SPED - M	162	252	64
MIDTOWN EAST CAMPUS - M	M488		2	M169				M169 SPED - M	44	48	92
HS OF GRAPHIC COMMUNICATION ARTS-M	M625	1	2	M170	0		1	SUCCESS ACADEMY CHARTER SCHOOL - M 2	138	307	45
WASHINGTON IRVING HS - M	M460	1	2	M174	0		1	SUCCESS ACADEMY CHARTER SCHOOL - M 1	127	285	45
P.S. 183 - M	M183	2	2	M183	0		3	P.S. 183 - M	606	466	130
P.S. 183 GYM - M	M390		2	M183				P.S. 183 - M	0	0	
P.S. 198 - M	M198	4	2	M198	32		3	P.S. 198 - M	495	490	101
I.S. 17 - M	M017	2	2	M212	0		3	P.S. 212 - M	343	342	100
P.S./I.S. 217 - M	M271	8	2	M217	36		3	P.S./I.S. 217 - M	518	720	72
JULIA RICHMAN ED. COMPLEX - M	M480	3	2	M225	34		3	P.S. 225 - M	319	335	95
HEALTH PROFESSIONS HS (OL STY) - M	M475		2	M226	0		0	M226 SPED - M	64	70	91
STUYVESANT HS (NEW) - M	M477		2	M226				M226 SPED - M	6	21	29
