overall_grade	additional_credit	_state_accountability_status	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	school_level_	most_recent_quality_review_score	_school_support_organization
B	2.3	In Good Standing	B	63.28	57.4	Thomas Staebell	35.1	01M015	D	P.S. 015 ROBERTO CLEMENTE	8.3	11.7	B	1	ESMS	C	Elementary	Proficient (2008-09)	ICI
A	3.0	In Good Standing	B	50.39	88.0	Ivan Kushner	56.7	01M019	B	P.S. 019 ASHER LEVY	8.6	19.7	A	1	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	2.3	In Good Standing	A	57.37	89.7	James Lee	54.4	01M020	A	P.S. 020 ANNA SILVER	11.9	21.1	A	1	ESMS	A	Elementary	Proficient (2008-09)	ICI
A	6.0	In Good Standing	C	58.96	73.3	Joyce Stallings Harte	43.0	01M034	B	P.S. 034 FRANKLIN D. ROOSEVELT	7.6	16.7	A	1	ESMS	B	K-8	Well Developed (2007-08)	ICI
B	2.3	In Good Standing	B	53.00	67.8	Darlene Despeignes	40.6	01M063	F	P.S. 063 WILLIAM MCKINLEY	10.0	14.9	B	1	ESMS	B	Elementary	Proficient (2008-09)	ICI
A	1.5	In Good Standing	A	60.63	96.3	Marlon L. Hosang	60.0	01M064	A	P.S. 064 ROBERT SIMON	14.0	20.8	A	1	ESMS	A	Elementary	Proficient (2008-09)	ESO
B	1.5	In Good Standing	B	42.56	65.0	Karen Feuer	34.7	01M110	C	P.S. 110 FLORENCE NIGHTINGALE	9.0	19.8	B	1	ESMS	A	Elementary	Well Developed (2008-09)	ESO
B	1.5	In Good Standing	B	54.03	67.0	Loretta Caputo	39.7	01M134	B	P.S. 134 HENRIETTA SZOLD	9.2	16.6	B	1	ESMS	B	Elementary	Proficient (2007-08)	ICI
A	3.0	In Good Standing	A	61.63	82.0	Melissa Rodriguez	50.3	01M137	B	P.S. 137 JOHN L. BERNSTEIN	10.7	18.0	A	1	ESMS	A	Elementary	Proficient (2007-08)	ICI
A	6.8	Improvement (year 2) -  Basic	B	62.46	75.1	Esteban Barrientos	39.3	01M140	B	P.S. 140 NATHAN STRAUS	9.9	19.1	B	1	ESMS	A	K-8	Proficient (2007-08)	ESO
A	7.5	In Good Standing	B	65.14	86.1	Rhonda Levy	49.4	01M142	A	P.S. 142 AMALIA CASTRO	10.1	19.1	A	1	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	0.0	In Good Standing	A	27.10	92.8	Ling Ling Chou	55.5	01M184	A	P.S. 184M SHUANG WEN	13.0	24.3	A	1	ESMS	A	K-8	Proficient (2007-08)	New Visions
A	4.5	In Good Standing	D	64.92	89.6	Barbara Slatin	55.7	01M188	A	P.S. 188 THE ISLAND SCHOOL	5.8	23.6	A	1	ESMS	A	K-8	Well Developed (2007-08)	ESO
B	6.0	Improvement (year 2) -  Focused	D	2.98	62.7	Erin Balet	32.2	01M292	C	HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES	6.0	18.5	C	1	ESMS	A	Middle	Proficient (2008-09)	Replications, Inc.
B	5	Improvement (year 2) -  Focused	C	2.07	63.9	Erin Balet	35.3	01M292	B	HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES	7.1	16.5	B	1	HS	B	High School	Proficient (2008-09)	Replications, Inc.
A	9.0	In Good Standing	B	3.00	89.1	George Morgan	47.6	01M301	C	TECHNOLOGY, ARTS, AND SCIENCES STUDIO	9.5	23.0	A	1	ESMS	A	Middle	Underdeveloped with Proficient Features (2008-09)	ESO
A	0.0	In Good Standing	C	34.21	80.8	Robin Williams	59.2	01M315	B	THE EAST VILLAGE COMMUNITY SCHOOL	7.7	13.9	A	1	ESMS	B	Elementary	Proficient (2007-08)	ESO
A	6.0	In Good Standing	C	2.92	81.6	Laura Peynado	45.2	01M332	B	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	7.5	22.9	A	1	ESMS	A	Middle	Not Confirmed (2008-09)	ESO
A	3.8	In Good Standing	C	3.28	78.8	Mauriciere Degovia	46.7	01M345	B	COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LAW	7.9	20.4	A	1	ESMS	A	Middle	Well Developed (2007-08)	ESO
B	2.3	In Good Standing	B	35.74	67.2	Maria Velez Clarke	45.8	01M361	B	THE CHILDREN'S WORKSHOP SCHOOL	9.6	9.5	A	1	ESMS	D	Elementary	Proficient (2007-08)	ICI
B	0.8	In Good Standing	B	33.34	63.3	Milo Novelo	39.1	01M363	D	NEIGHBORHOOD SCHOOL	10.0	13.4	B	1	ESMS	C	Elementary	Well Developed (2008-09)	ESO
B	0.8	In Good Standing	A	34.68	59.1	Alison Gail Hazut	34.2	01M364	A	EARTH SCHOOL	11.6	12.5	B	1	ESMS	C	Elementary	Well Developed (2007-08)	ESO
""				2.86		Carry Chan		01M378		SCHOOL FOR GLOBAL LEADERS				1	ESMS		Middle		CLSO
""		In Good Standing																No QR in last two years	
D	2	Improvement (year 1) -  Comprehensive	C	2.26	41.8	Robert Miller	18.7	01M448	B	UNIVERSITY NEIGHBORHOOD HIGH SCHOOL	6.8	14.3	F	1	HS	B	High School	Proficient (2007-08)	CLSO
A	5.3	In Good Standing	A	2.99	92.3	Mark Federman	51.0	01M450	A	EAST SIDE COMMUNITY HIGH SCHOOL	11.0	25.0	A	1	ESMS	A	Middle	Well Developed (2007-08)	ESO
A	7	In Good Standing	A	2.27	79.7	Mark Federman	36.5	01M450	A	EAST SIDE COMMUNITY HIGH SCHOOL	15.0	21.2	B	1	HS	A	High School	Well Developed (2007-08)	ESO
""						Jayne Godlewski		01M509		MARTA VALLE SECONDARY SCHOOL				1	ESMS		Middle		ICI
""		Restructuring (Advanced) -  Comprehensive																Proficient (2007-08)	
B	5	Restructuring (Advanced) -  Comprehensive	D	2.08	66.1	Jayne Godlewski	41.3	01M509	B	MARTA VALLE SECONDARY SCHOOL	5.9	13.9	B	1	HS	B	High School	Proficient (2007-08)	ICI
A	10.0	Improvement (year 2) -  Comprehensive	B	2.65	79.0	Martha Polin	40.1	01M515	A	LOWER EAST SIDE PREPARATORY HIGH SCHOOL	8.9	20.0	B	1	HS	A	Transfer School	Well Developed (2007-08)	ESO
A	0.0	In Good Standing	B	11.77	80.8	Dr. Olga Livanis	46.7	01M539	A	NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL	9.1	25.0	A	1	ESMS	A	K-8	Proficient (2007-08)	ICI
A	0	In Good Standing	B	3.51	78.7	Dr. Olga Livanis	46.6	01M539	A	NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL	10.0	22.1	A	1	HS	A	High School	Proficient (2007-08)	ICI
A	2.5	In Good Standing	A	2.48	82.9	Paul Rotondo	45.8	01M650	A	CASCADES HIGH SCHOOL	12.2	22.4	A	1	HS	A	Transfer School	Well Developed (2007-08)	ESO
B	0	In Good Standing	A	3.79	66.2	Raymond Peterson	37.3	01M696	B	BARD HIGH SCHOOL EARLY COLLEGE	11.5	17.4	B	1	HS	B	High School	Proficient (2007-08)	ESO
A	7.5	In Good Standing	A	3.35	96.3	Sonhando Estwick	51.5	01M839	A	TOMPKINS SQUARE MIDDLE SCHOOL	14.0	23.3	A	1	ESMS	A	Middle	Proficient (2008-09)	ESO
B	2.3	In Good Standing	D	40.34	66.0	Amy Hom	40.1	02M001	B	P.S. 001 ALFRED E. SMITH	5.0	18.6	B	2	ESMS	A	Elementary	Proficient (2007-08)	ICI
A	6.0	In Good Standing	B	39.62	94.1	Brett Gustafson	58.4	02M002	A	P.S. 002 MEYER LONDON	10.1	19.6	A	2	ESMS	A	Elementary	Proficient (2007-08)	ICI
A	2.3	In Good Standing	A	18.64	87.8	Lisa Siegman	57.8	02M003	B	P.S. 003 CHARRETTE SCHOOL	10.2	17.5	A	2	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	3.0	In Good Standing	B	11.78	76.2	Lauren Fontana	48.0	02M006	B	P.S. 006 LILLIE D. BLAKE	8.4	16.8	A	2	ESMS	B	Elementary	Well Developed (2007-08)	ESO
A	4.5	In Good Standing	A	43.85	99.4	Robert Bender	59.9	02M011	B	P.S. 011 WILLIAM T. HARRIS	13.6	21.4	A	2	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	3.8	In Good Standing	A	51.88	98.0	Linore Lindy	54.2	02M033	A	P.S. 033 CHELSEA PREP	15.0	25.0	A	2	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	0.0	In Good Standing	A	15.39	79.6	Susan Felder	49.4	02M040	B	P.S. 040 AUGUSTUS SAINT-GAUDENS	10.4	19.8	A	2	ESMS	A	Elementary	Well Developed (2007-08)	ESO
A	0.0	In Good Standing	A	14.34	84.3	Kelly Shannon	54.0	02M041	A	P.S. 041 GREENWICH VILLAGE	11.4	18.9	A	2	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	4.5	In Good Standing	A	35.80	98.1	Rosa Casiello O'Day	58.1	02M042	A	P.S. 042 BENJAMIN ALTMAN	12.2	23.3	A	2	ESMS	A	Elementary	Outstanding (2007-08)	ICI
""						Watfa A. Shama		02M047		47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL				2	ESMS		Middle		ESO
""		In Good Standing							B									Underdeveloped with Proficient Features (2008-09)	
A	4	In Good Standing	B	1.62	71.8	Watfa A. Shama	47.9	02M047	B	47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL	10.2	9.7	A	2	HS	D	High School	Underdeveloped with Proficient Features (2008-09)	ESO
A	0.0	In Good Standing	A	48.57	78.7	Nancy Sing Bock	44.7	02M051	A	P.S. 051 ELIAS HOWE	13.4	20.6	A	2	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	0.0	In Good Standing	A	19.80	80.8	Adele Schroeter	53.1	02M059	C	P.S. 059 BEEKMAN HILL INTERNATIONAL	10.6	17.1	A	2	ESMS	A	Elementary	Well Developed (2008-09)	ICI
A	0.0	In Good Standing	B	11.74	74.4	Mara Ratesic Koetke	42.8	02M077	A	P.S. 77 LOWER LAB SCHOOL	9.0	22.6	A	2	ESMS	A	Elementary	Proficient (2008-09)	ESO
A	0.8	In Good Standing	B	14.10	88.1	Veronica Najjar	59.2	02M089	B	P.S. 89	8.8	19.3	A	2	ESMS	A	Elementary	Proficient (2007-08)	ESO
A	9.8	In Good Standing	B	3.51	80.5	Rosemarie Gaetani	43.4	02M104	B	J.H.S. 104 SIMON BARUCH	8.1	19.2	A	2	ESMS	A	Middle	Proficient (2007-08)	ESO
A	6.0	In Good Standing	B	53.64	83.8	Irma Medina	51.1	02M111	B	P.S. 111 ADOLPH S. OCHS	9.0	17.7	A	2	ESMS	A	K-8	Proficient (2007-08)	ICI
A	0.0	In Good Standing	A	3.87	86.3	David Getz	50.1	02M114	B	EAST SIDE MIDDLE SCHOOL	12.9	23.3	A	2	ESMS	A	Middle	Well Developed (2007-08)	ESO
A	0.8	In Good Standing	B	19.64	89.8	Jane Hsu	57.4	02M116	C	P.S. 116 MARY LINDLEY MURRAY	8.6	23.0	A	2	ESMS	A	Elementary	Proficient (2008-09)	ICI
A	3.8	In Good Standing	A	25.73	90.0	Alice Hom	52.8	02M124	A	P.S. 124 YUNG WING	10.9	22.5	A	2	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	9.0	In Good Standing	D	42.92	92.1	Kerry Decker	54.9	02M126	A	P.S. 126 JACOB AUGUST RIIS	5.7	22.5	A	2	ESMS	A	K-8	Well Developed (2007-08)	ICI
A	4.5	In Good Standing	A	26.84	101.1	Lily Woo	60.0	02M130	A	P.S. 130 HERNANDO DE SOTO	14.1	22.5	A	2	ESMS	A	Elementary	Outstanding (2007-08)	ESO
A	6.0	Restructuring (Advanced) -  Focused	A	3.33	78.9	Phyllis Tam	44.3	02M131	A	M.S. 131	10.5	18.1	A	2	ESMS	A	Middle	Well Developed (2007-08)	ESO
A	0.0	In Good Standing	A	14.72	76.2	Maggie Siena	43.6	02M150	A	P.S. 150	10.9	21.7	A	2	ESMS	A	Elementary	Proficient (2007-08)	ESO
A	0.0	In Good Standing	D	20.79	78.6	Darryl Alhadeff	49.7	02M158	B	P.S. 158 BAYARD TAYLOR	5.4	23.5	A	2	ESMS	A	Elementary	Well Developed (2007-08)	ICI
A	10.5	In Good Standing	B	3.54	85.2	Jennifer Rehn	46.6	02M167	B	J.H.S. 167 ROBERT F. WAGNER	8.7	19.4	A	2	ESMS	A	Middle	Well Developed (2007-08)	ESO
A	3.8	In Good Standing	B	17.54	87.5	Mary Anne Sacco	60.0	02M183	A	P.S. 183 ROBERT L. STEVENSON	8.6	15.1	A	2	ESMS	B	Elementary	Proficient (2007-08)	ESO
B	2.3	In Good Standing	D	45.61	62.5	Sharon Jeffrey Roebuck	38.0	02M198	B	P.S. 198 ISADOR E. IDA STRAUS	6.4	15.8	B	2	ESMS	B	Elementary	Well Developed (2007-08)	ICI
A	3.8	In Good Standing	A	25.37	96.3	Dean Ketchum	60.0	02M212	A	P.S. 212 MIDTOWN WEST	12.8	19.7	A	2	ESMS	A	Elementary	Well Developed (2007-08)	ICI
