site_name	program_type	location_1/latitude	location_1/human_address/address	location_1/human_address/city	location_1/human_address/state	location_1/human_address/zip	location_1/longitude	agency	borough_community	program	grade_level_age_group	contact_number
Public School 105 - Blythebourne School	Reading & Writing,NDA Programs,Family Literacy	40.63300376501953	1031 59th Street	Brooklyn	NEW YORK	11219	-74.00381336276764	Brooklyn Chinese American Association	Brooklyn	Family Literacy	A parent 16 Years Old or Older	718-438-0008
Brooklyn Chinese American Association	Reading & Writing,NDA Programs,Family Literacy	40.64105371224104	5010 8th Avenue	Brooklyn	NEW YORK	11220	-74.00381858175466	Brooklyn Chinese American Association	Brooklyn	Family Literacy	A parent 16 Years Old or Older	718-438-0008
Public School 249 - The Caton School	Reading & Writing,NDA Programs,Family Literacy	40.649842155595174	18 Marlborough Road	Brooklyn	NEW YORK	11226	-73.96609617601914	CAMBA, Inc.	Brooklyn	Family Literacy	A parent 16 Years Old or Older	718-282-5575
Public School 8 - Luis Belliard School	Reading & Writing,NDA Programs,Family Literacy	40.8389205164512	465 167 Street	New York	NEW YORK	10032	-73.93676691090876	The Children's Aid Society	New York	Family Literacy	A parent 16 Years Old or Older	212-949-4917
Public School 92 - Harry T Stewart Senior	Reading & Writing,NDA Programs,Family Literacy	40.749678220373596	99 01 34 Avenue	Queens	NEW YORK	11368	-73.85304068857687	Coalition for Hispanic Family Services	Queens	Family Literacy	A parent 16 Years Old or Older	718-497-6090
Public School 149 - Christa Mcauliffe	Reading & Writing,NDA Programs,Family Literacy	40.75163073936716	93 11 34th Avenue	Queens	NEW YORK	11372	-73.88361254528269	Goodwill Industries of Greater New York	Queens	Family Literacy	A parent 16 Years Old or Older	718-426-0888
Public School 73 - The Bronx School	Reading & Writing,NDA Programs,Family Literacy	40.832779162508096	1020 Anderson Avenue	Bronx	NEW YORK	10452	-73.92673351173502	Highbridge Community Life Center (HCLC)	Bronx	Family Literacy	A parent 16 Years Old or Older	718-681-2222
Public School 19 - Curtis School	Reading & Writing,NDA Programs,Family Literacy	40.631189624083056	780 Post Avenue	Staten Island	NEW YORK	10310	-74.127115288525	Jewish Community Center of Staten Island, Inc.	Staten Island	Family Literacy	A parent 16 Years Old or Older	718-508-3883
Edith and Carl Marks Jewish Community House of Bensonhurst	Reading & Writing,NDA Programs,Family Literacy	40.606424326705934	7802 Bay Parkway	Brooklyn	NEW YORK	11214	-73.98919274272059	Edith and Carl Marks Jewish Community House of Bensonhurst	Brooklyn	Family Literacy	A parent 16 Years Old or Older	718-943-6325
Public School 115 - Alexander Humboldt School	Reading & Writing,NDA Programs,Family Literacy	40.84641769845956	586 177th Street	New York	NEW YORK	10033	-73.93487128414608	Northern Manhattan Improvement Corporation	New York	Family Literacy	A parent 16 Years Old or Older	212-453-5397
Phipps Community Education Center	Reading & Writing,NDA Programs,Family Literacy	40.84134504810141	1030 178th Street	Bronx	NEW YORK	10460	-73.88030387915799	Phipps Community Development	Bronx	Family Literacy	A parent 16 Years Old or Older	718-364-2496
Public School 89 - Elmhurst School	Reading & Writing,NDA Programs,Family Literacy	40.73871040256307	85 28 Britton Avenue	Queens	NEW YORK	11373	-73.87835115518163	The Child Center of NY	Queens	Family Literacy	A parent 16 Years Old or Older	718-659-4000
Public School 225 - Eileen E Zaglin School	Reading & Writing,NDA Programs,Family Literacy	40.5797910944251	1075 Oceanview Avenue	Brooklyn	NEW YORK	11235	-73.95643350547934	Shorefront YM-YWHA	Brooklyn	Family Literacy	A parent 16 Years Old or Older	718-646-1444
Southeast Bronx Neighborhood Centers, Inc.	Reading & Writing,NDA Programs,Family Literacy	40.82309725417601	955 Tinton Avenue	Bronx	NEW YORK	10456	-73.90303414045628	Southeast Bronx Neighborhood Center, Inc. (SEBNC)	Bronx	Family Literacy	A parent 16 Years Old or Older	718-542-2727
Public School 112 - Jose Celso Barbosa School	Reading & Writing,NDA Programs,Family Literacy	40.796415393630525	535 119 Street	New York	NEW YORK	10035	-73.93038366721987	Stanley M. Isaacs Neighborhood Center, Inc.	New York	Family Literacy	A parent 16 Years Old or Older	212-360-7625
Public School 198/77 - Isador & Ida Straus School	Reading & Writing,NDA Programs,Family Literacy	40.7852258951129	1700 Third Avenue	New York	NEW YORK	10128	-73.94934848503704	Stanley M. Isaacs Neighborhood Center, Inc.	New York	Family Literacy	A parent 16 Years Old or Older	212-360-7625
Public School 199Q - Maurice Fitzgerald	Reading & Writing,NDA Programs,Family Literacy	40.74489336663561	39 20 48th Avenue	Queens	NEW YORK	11104	-73.92054134530679	Sunnyside Community Service, Inc.	Queens	Family Literacy	A parent 16 Years Old or Older	718-784-6173
Queens Library	Reading & Writing,NDA Programs,Family Literacy	40.761699790013324	35 32 21 Street	Queens	NEW YORK	11106	-73.9316632529567	Queens Borough Public Library (Central)	Queens	Family Literacy	A parent 16 Years Old or Older	718-784-2112
M.S. 860 Frederick Douglass Academy II	Reading & Writing,NDA Programs,Family Literacy	40.802154978703435	215 114 Street	New York	NEW YORK	10026	-73.9539796369881	Creative Arts Team/CUNY	New York	Adolescent Literacy	grades 6 to 8	212.652.2800
M.S. 635- Academy for Enviornmental Sciences	Reading & Writing,NDA Programs,Family Literacy	40.785470644533916	410 100 Street	New York	NEW YORK	10029	-73.94206586038047	Supportive Childrens Advocacy Network (SCAN)	New York	Adolescent Literacy	grades 6 to 8	212.683.2522
MS 324 - Patria Mirabal School	Reading & Writing,NDA Programs,Family Literacy	40.83932420490237	21 Jumel Place	New York	NEW YORK	10032	-73.93612610353428	The Children's Aid Society	New York	Adolescent Literacy	grades 6 to 8	212.740.8655
JHS 22- Jordan L Mott School	Reading & Writing,NDA Programs,Family Literacy	40.83322765425807	270 167th Street	Bronx	NEW YORK	10456	-73.91408537225458	Supportive Childrens Advocacy Network (SCAN)	Bronx	Adolescent Literacy	grades 6 to 8	212.683.2522
M.S. 368- IN-Tech Academy	Reading & Writing,NDA Programs,Family Literacy	40.87834957539748	Tibbett Avenue	Bronx	NEW YORK	10463	-73.9112816097151	Creative Arts Team/CUNY	Bronx	Adolescent Literacy	grades 6 to 8	212.652.2800
I.S.168 - Parsons School	Reading & Writing,NDA Programs,Family Literacy	40.72816440726166	158 40 76th Road	Queens	NEW YORK	11366	-73.79226817393703	The Child Center of NY	Queens	Adolescent Literacy	grades 6 to 8	718.458.4243 ext. 205
Q 705- The Renaissance Charter School	Reading & Writing,NDA Programs,Family Literacy	40.75163073936716	35 59 81st Street	Queens	NEW YORK	11372	-73.88361254528269	Creative Arts Team/CUNY	Queens	Adolescent Literacy	grades 6 to 8	212.652.2800
K 533- School for Democracy and Leadership 600 Kingston Avenue	Reading & Writing,NDA Programs,Family Literacy							CAMBA	Brooklyn	Adolescent Literacy	grades 6 to 8	718.282.5575
I.S. 126- Astoria Intermediate School	Reading & Writing,NDA Programs,Family Literacy	40.74570244980828	31 51 21st Street	Queens	NEW YORK	11101	-73.93866902925225	Jacob Riis Neighborhood Settlement	Queens	Adolescent Literacy	grades 6 to 8	718.204.6797
MS 35- Decatur Clearpool School	Reading & Writing,NDA Programs,Family Literacy	40.68189209294426	272 McDonough Street	Brooklyn	NEW YORK	11233	-73.93584163199317	Stanton Heiskell Center	Brooklyn	Adolescent Literacy	grades 6 to 8	212.817.2106
African Services Committee, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.813196742697244	429 127 Street	New York	NEW YORK	10027	-73.95433261286013	African Services Committee, Inc.	New York	Adult Literacy	16+	(212) 222-3882
Project COPE / Adult Education	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.61904739455146	1577 Coney Island Avenue	Brooklyn	NEW YORK	11230	-73.96399704536418	Agudath Israel of America Community Services, Inc.	Brooklyn	Adult Literacy	16+	(212) 809-5935 x 104
Agudath Israel of America Community Services, Inc.	Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy	40.711843149995104	225 Broadway	New York	NEW YORK	10007	-74.00822898207605	Agudath Israel of America Community Services, Inc.	New York	Adult Literacy	16+	(212) 809-5935 x 104
